row_id,text,true_label,true_label_enc,challenge_type,dataset
70,<USER> We don't mind the fee! We were told we can't change name on ticket at all.,negative,0,emoji_heavy,D2
71,<USER> will we be able to watch the Oscars on our flight tomorrow?,neutral,1,emoji_heavy,D2
72,<USER> bag just delivered and items have been stolen. At first look - my Kate spade bag and bottle of spiced rum! Wtf!!,negative,0,emoji_heavy,D2
73,“<USER>: <USER> Hmmm... how does the Caribbean sound? <URL> ^LD” WARM THANKS!,positive,2,emoji_heavy,D2
74,<USER> thanks for bringing my son home to me.,positive,2,emoji_heavy,D2
75,You don't have to do this “<USER>: Our fleet's on fleek. <URL>,neutral,1,emoji_heavy,D2
76,<USER> our flight was rebooked with you and we want to change our seats or upgrade to 1st class. Can you help? Phones are down.,negative,0,emoji_heavy,D2
77,<USER> real shit my nigga north don't play around!,neutral,1,emoji_heavy,D2
78,<USER> OMG OMG OMG !!! I JUST DID!!,neutral,1,emoji_heavy|slang,D2
79,"<USER> <USER> well there is certainly nothing happening ""in front"" of the scenes. #Noaccountability #disappointing",negative,0,hashtag_heavy|emoji_heavy,D2
80,<USER> <USER> thought u merged but #USAirways sucks #worstever <URL>,negative,0,hashtag_heavy|emoji_heavy,D2
81,"<USER> nope, they just announced we're headed back to the gate.",negative,0,emoji_heavy,D2
82,<USER> Done! Also looks like you opened some up on my flight to Vegas on Sunday! 💙,positive,2,emoji_heavy,D2
83,<USER> No I got to Philly on Monday and got to my final destination South Carolina on Wednesday. Its not acceptable.,negative,0,negation|emoji_heavy,D2
84,"<USER> I can easily get to the Atlanta show, I just need tickets, help?!",neutral,1,emoji_heavy,D2
85,<USER> Can someone rebook me? Please direct message me.,neutral,1,emoji_heavy,D2
86,<USER> <USER> this is an international airline that experienced record profits last quarter. But they can't staff a call center,negative,0,emoji_heavy,D2
87,"<USER> took forever for catering to get to my flight, now are very delayed. So ticked off right now.",negative,0,emoji_heavy,D2
88,"<USER> I had it until last night, but because ""severe weather"" I could make the needed changes and now fair goes up 150 each.",negative,0,emoji_heavy,D2
89,<USER> thx for delayed checkin on noon flt to mia then forcing me to take Late Flightr flts which were delayed. Cincy to Miami in 13 hrs! #fast,negative,0,emoji_heavy,D2
90,"<USER> all your online resources say we're on time, but clearly we are not. This is not very information age of you...",negative,0,negation|emoji_heavy,D2
91,"<USER> that's why I'm asking for exception. Staffer moving last minute,we're a nonprofit &amp; losing $400,we just want to change ticket.",negative,0,emoji_heavy,D2
92,<USER> thanks kp but luckily my transfer has maintenance issues and is still delayed so I didn't miss my transfer...,negative,0,emoji_heavy,D2
93,<USER> should prob give me a refund since they made me miss my flight waiting to talk to someone for 3 hours... <URL>,negative,0,emoji_heavy,D2
94,<USER> <USER> HAHA. you didn’t disappoint. Well done. #JVMChat,positive,2,emoji_heavy,D2
95,<USER> has posted flight schedule covering the date range of <USER> 23,neutral,1,emoji_heavy,D2
96,"<USER> booked flight 1mnth ago, seat CONFIRMED, small plane arrived and was not allowed to board bcs no seat, horrible service",negative,0,negation|emoji_heavy,D2
97,<USER> too long for 140 characters,negative,0,emoji_heavy,D2
98,"<USER> yes, We have de baggage claim, I'm so sad for the baggage and how They treat Us 😞 please we need That baggage",negative,0,emoji_heavy,D2
99,<USER> the last 4 times I've arrived <USER> our gate has been blocked by a slow to depart plane leading to 30-60 min delays,negative,0,emoji_heavy,D2
100,<USER> now the 3rd issue with the plane is a fuel leak. They will let us know soon what they decide. #getmeoffthisplane #ineedabeer,negative,0,hashtag_heavy|emoji_heavy,D2
101,"<USER> flying w/ infant for the 1st time, can I bring a canister of powder formula for a carry on and/or use my plastic formula divider?",neutral,1,emoji_heavy,D2
102,<USER> I see my flight from Boston to Pitts is ok from this afternoon. Did you have any delays for the morning flight?,neutral,1,emoji_heavy,D2
103,<USER> are we scheduled to depart as scheduled?,neutral,1,emoji_heavy,D2
104,<USER> plus what about food? And taxis?,negative,0,emoji_heavy,D2
105,<USER> Such a suprise! New vanity kit set for frequent travellers 😀 thank you AA! <URL>,positive,2,emoji_heavy,D2
106,<USER> well our plane just landed at the international terminal... so they announced the 10 pm new time.,negative,0,emoji_heavy,D2
107,<USER> would love to respond to link but supervisor tore ticket up and refused to give me names and hid her badge from me,negative,0,emoji_heavy,D2
108,"<USER> BTW I was completely unable to buy wifi for my flight using Galaxy S4. Couldn't zoom out or scroll to touch ""Buy""",negative,0,emoji_heavy|slang,D2
109,<USER> can I just go ahead and live in your premium cabins? I'm in heaven now en route to LHR,positive,2,emoji_heavy,D2
110,<USER> Are there discounts every tuesday cause Im leaving fron Birmingham Airport to San fran Next week in march sometime,neutral,1,emoji_heavy,D2
111,"<USER> help me, united! I paid for economy plus on a flight that was changed BC of delay. Will I be automatically refunded?",negative,0,emoji_heavy,D2
112,<USER> I'm looking every day just watching for a deal. I have specific dates so fare finder doesn't help me,neutral,1,emoji_heavy,D2
113,<USER> can I book using some sort of breavement program? I need to get home for my pops funeral,neutral,1,emoji_heavy,D2
114,<USER> This isn't a one time thing either! It's a shocking pattern of repeated neglect and disrespect.,negative,0,emoji_heavy,D2
115,.<USER> I did but the more eyes I have looking for Pandu the better chance I have of bringing him home.,negative,0,emoji_heavy,D2
116,<USER> allowing passengers on my flight to block exit of plane,negative,0,emoji_heavy,D2
117,<USER> <USER> iPhone 6 64GB (not 6 plus),neutral,1,negation|emoji_heavy,D2
118,<USER> think flight 1945 from BNA to LAX will get off the ground tomorrow??? #please #snowbama,neutral,1,hashtag_heavy|emoji_heavy,D2
119,<USER> I need some help. My record locator is bringing up TWO different flights in your system. One op by AA &amp; one from US Airways.,neutral,1,emoji_heavy,D2
120,"<USER> absolutely worst experience of my life at PHL. 6 hrs, 1 failed departure, 3 gates, and ZERO communication or help!!",negative,0,emoji_heavy,D2
121,<USER> Yeah I know that...but now I'll have to spend almost 500 dollars more on my ticket since the price has gone up over the week,negative,0,emoji_heavy,D2
122,<USER> misplaced my bag 36 hr ago and can't tell me where it is. I've lost $1000 of stuff :( #AmericanAirlines #unamericanairlines,negative,0,hashtag_heavy|emoji_heavy,D2
123,<USER> hats off to Admiral Lounge attendant @ YYZ Terminal 3 who gave her banana to our toddler when none avail elsewhere.,positive,2,emoji_heavy,D2
124,<USER> any idea what's up with flight AA3181?,negative,0,emoji_heavy,D2
125,"<USER> i hope it takes you 6 hours to get home when it should take 20. my flight was Cancelled Flightled because they ""couldn't staff the plane""",negative,0,emoji_heavy,D2
126,<USER> <USER> can you pm me w answer if flt to 4278 is still on time. Been on ground over an hr w no gate. Need help. Pls,negative,0,negation|emoji_heavy,D2
127,<USER> They're also saying the CLT flights are delayed but you're not showing it in your system which makes it impossible to figure out,negative,0,negation|emoji_heavy,D2
128,<USER> can I bring mini bottles of booze on to my flight?,neutral,1,emoji_heavy,D2
129,<USER> is the stingiest airline. Nobody should model after them. #PTFO #cheap #bastards #stingy,negative,0,hashtag_heavy|emoji_heavy,D2
130,<USER> 768 SFO to BOS and no internet it is 2015 what gives?,negative,0,negation|emoji_heavy,D2
131,"<USER> They weren't on any flight, they just came Late Flight. Your JetBlue employee just informed us!",negative,0,emoji_heavy,D2
132,"<USER> I slept in the miami airport due to mechanical issues and was given 10,000 bonus miles to try and make it right. #slapintheface",negative,0,emoji_heavy,D2
133,<USER> but it's hard to stay upset at someone when they at least TRY to show remorse.,negative,0,emoji_heavy,D2
134,<USER> I pay for a service to be delivered. Whether or not it is your fault shouldn't there be some sort of compensation?,negative,0,negation|emoji_heavy,D2
135,"<USER> never in my life have I dealt with such poor customer service, irresponsible staff and lack of care LGA-IAH day 2, baggage in NC?",negative,0,negation|emoji_heavy,D2
136,"<USER> oh it can get better apparently. After making us wait for a gate, psych!! Now we need you to de-ice before coming to the gate!!",negative,0,emoji_heavy,D2
137,<USER> am I allowed to bring a duffle bag and back pack as my carry on and personal item? Flying out of NY,neutral,1,emoji_heavy,D2
138,<USER> You are 0 for 3 so far in on-time flights on this vacation.,negative,0,emoji_heavy,D2
139,"<USER> Coach interior on UA 992 looked like it was salvaged from the 80s. Tiny unusable video, no power &amp; lifevests on the floor #UA992 …",negative,0,negation|emoji_heavy,D2
140,<USER> would you say a delay is more likely? Thanks so much.,positive,2,emoji_heavy,D2
141,<USER> today take flight to san francisco. .. refuse to let us board with baby early... time we board wont let us take baby carryon bag,negative,0,emoji_heavy,D2
142,"“<USER>: <USER> We're sorry you were uncomfortable, Andrew. What can we do for you?” SMA",negative,0,emoji_heavy,D2
143,"<USER> Don't worry, you will! :-)",neutral,1,emoji_heavy,D2
144,<USER> I will tell marry a lamp if you give me tickets to the Vegas show please I am desperate,neutral,1,emoji_heavy,D2
145,<USER> Just sent DM with confirmation number and passenger name on SWA 3104 MCO-&gt;CMH,neutral,1,emoji_heavy,D2
146,"<USER> If I am traveling with an infant in my lap, is there anything I need to do to notify you?",neutral,1,emoji_heavy,D2
147,<USER> stranding a student trying to get to Birmingham in CLT overnight w/o any help. You can do better than that. <USER>,negative,0,emoji_heavy,D2
148,<USER> good morning sunshine! #TailfinThursday <URL>,positive,2,emoji_heavy,D2
149,<USER> Thanks for the lack of help and the canned response from the 1K desk!,negative,0,emoji_heavy,D2
150,"<USER> rarely ceases to amaze...for the worse. i hope this is the last time i ""have"" to fly with you.",negative,0,emoji_heavy,D2
151,<USER> I am very glad I took care of own rescheduling now that UA 1580 from OGG was Cancelled Flightled. <URL>,negative,0,emoji_heavy,D2
152,"<USER> suggest you failures make a HUGE donation to <USER> Charlotte, NC as THEY provided GREAT customer service today, unlike you.",negative,0,emoji_heavy,D2
153,<USER> <USER> I just spoke to the baggage claim center and they gave me travel credit but will not be responsible for the cost of a,negative,0,negation|emoji_heavy,D2
154,<USER> I did set up notifications through AA &amp; Us airways. still nothing,negative,0,emoji_heavy,D2
155,<USER> it's done. If you do something to make up for it I'll tweet that too.,neutral,1,emoji_heavy,D2
156,<USER> just DMed. thanks so much for addressing this so quickly.,positive,2,emoji_heavy,D2
157,<USER> I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,positive,2,hashtag_heavy|emoji_heavy,D2
158,<USER> Thanks to AA for the upgrade today and getting me on a new flight after my first one was Cancelled Flightled!,positive,2,emoji_heavy,D2
159,<USER> <USER> <USER> lol. I was sure I'd wake up to more of a response than this half-thought auto tweet. hope you made it out.,negative,0,emoji_heavy|slang,D2
160,<USER> thank you for handling this for me. Glad Southwest cares about what it's flyers think!,positive,2,emoji_heavy,D2
161,"<USER> If that was the case, why did your alert arrive so Late Flight? Four-hour delay? Don't buy it.",negative,0,emoji_heavy,D2
162,<USER> is AA951 to São Paulo taking off today? Your colleagues won't tell us any thing,negative,0,emoji_heavy,D2
163,<USER> how does it feel to have almost everyone hate you?,negative,0,emoji_heavy,D2
164,"Bruh...real tweet from <USER> ""Our fleet's on fleek. <URL>",neutral,1,emoji_heavy,D2
165,<USER> yall tried it with this little bitty plane flying out of boston!! I hate little planes!!!,negative,0,emoji_heavy,D2
166,<USER> are you anticipating weather-reLate Flightd Cancelled Flightations for afternoon departures out of AUS today?,neutral,1,emoji_heavy,D2
167,"<USER> - In case you're reading this, UA230, right now, 7D. So many oversized carryons taking up too much room. Enforce your rules.",negative,0,emoji_heavy,D2
168,<USER> So far....my phone wait time is longer than <USER>'s #Oscars coverage. #WhatCustomerService,negative,0,hashtag_heavy|emoji_heavy,D2
169,<USER> empathizes w/ my disappointment that 1stClass flight w/nonworking entertainmnt is worth $50. #UnFriendlySkies <URL>,negative,0,emoji_heavy,D2
170,"<USER> I have LITERALLY been on hold since 3am est.PlatinumEventually hung up &amp; again back on hold. Understand weather, but ridiculous.",negative,0,emoji_heavy,D2
171,<USER> No worries. Time flew in the terminal and now we're taking off. Thanks again!,positive,2,negation|emoji_heavy,D2
172,<USER> there is nothing tonight and I am on the flight now with GOGO internet is there a way that someone could send me a DM or email?,neutral,1,emoji_heavy,D2
173,<USER> <USER> you get to hold? called twice only to be kicked off.calls 3-6 #phonedied #AListpreferred <URL>,negative,0,hashtag_heavy|emoji_heavy,D2
174,<USER> What's with your baggage handlers calling out at DFW today? No luggage onboard the planes.,negative,0,negation|emoji_heavy,D2
175,<USER> is amazing. Had a short delay. They gave me $150 credit! It was literally pretty much my fault I missed the flight.,positive,2,emoji_heavy,D2
176,<USER> do you ever reinstate Cancelled Flighted flights?,negative,0,emoji_heavy,D2
177,"<USER> arrived +-10pm eastern. Had to deplane on the CRJs airstairs to an icy Tarmac. Valet bags sent to carousel, so it was 10:20pm.",negative,0,emoji_heavy,D2
178,<USER> sounds great! Thank you!! :),positive,2,emoji_heavy,D2
179,"<USER> - 75% of a plane's passengers boarding in your ""Premier"" groups might be an indication of a broken process.",negative,0,emoji_heavy,D2
180,<USER> <USER> 9 empty seats open in 1st on AA1061. No upgrades for a U.S. Gold member? Would love consistent policies.,negative,0,negation|emoji_heavy,D2
181,<USER> Boeing 777 Star Alliance short finals <USER> 27L on an amazing winters morning #777 #Avgeek <URL>,positive,2,hashtag_heavy|emoji_heavy,D2
182,<USER> ORD Gate C25 and Flt 619- remember when customers were valuable? Is it so hard to be nice to someone lugging a guitar &amp; carryons ?,negative,0,emoji_heavy,D2
183,"<USER> was hoping for 8A if possible, for some frozen views along the way!",neutral,1,emoji_heavy,D2
184,<USER> - Group 2 line gets longer every week. Almost no one left for Groups 3-5 anymore. Time to make Explorer Card Group 3?,neutral,1,negation|emoji_heavy,D2
185,"<USER> 2 hours now! No I'm not patient. Why don't you have a call back feature or pay someone to answer the phone, not tweet #onhold",negative,0,negation|emoji_heavy,D2
186,<USER> I'll stick with flying for free any where that Southwest goes; my son works for this wonderful company and Moms fly free.,positive,2,emoji_heavy,D2
187,<USER> I'm curious to know how do you compensate for passengers missing engagements due to a two hour wait on the tar-mat to get to a gate,negative,0,emoji_heavy,D2
188,<USER> was in the air. Just DMd you,neutral,1,emoji_heavy,D2
189,<USER> stuck in YYZ because staff took a break? Not happy 1K....,negative,0,negation|emoji_heavy,D2
190,"<USER> That's ok...You may keep my $25 and lose my bag with no info, but you no longer have my trust. Bad way to handle this.",negative,0,negation|emoji_heavy,D2
191,<USER> attached original ticket. flight number was 1672. isn't the experience I thought I would have. Terrible! <URL>,negative,0,emoji_heavy,D2
192,<USER> or she ;),neutral,1,emoji_heavy|short_ambiguous,D2
193,"<USER> I ❤️ Jetblue but i was on flt 277 from fll to sfo. tke off was over 1 hr Late Flight, div to phx &amp; got in 2 hrs Late Flight. What will be done?",negative,0,emoji_heavy,D2
194,"<USER> <USER> That's DFW!? OMG! Yeah cold, everywhere!",neutral,1,emoji_heavy|slang,D2
195,<USER> no. Not boarding order. Someone boarded with. Service Animal which a member of my party was allergic to and because the flight was,negative,0,negation|emoji_heavy,D2
196,"<USER> <USER> <USER> can you help? <USER> is in the wrong, stuck in Florida 3days. They need to learn from real airlines.",negative,0,emoji_heavy,D2
197,<USER> THANK YOU for finally making your boarding passes work with passbook,positive,2,emoji_heavy,D2
198,<USER> Another dead end. They only handle AA L&amp;F. They gave me the same failed # I already had. 610-362-7498(99) VM full. #lost,negative,0,emoji_heavy,D2
199,"<USER> btw, her name was Samantha and she won over everyone on the flight",positive,2,emoji_heavy|slang,D2
200,<USER> been trying to talk with a dividend miles rep for 2 days now. I have been holding for over 2 hours each day. What are my options?,negative,0,emoji_heavy,D2
201,<USER> kids fly. Don't hire people who don't care about them. This guy. #jetblue <URL>,negative,0,emoji_heavy,D2
202,<USER> is the real MVP for holding up the flight connecting Philly to Tampa.,negative,0,emoji_heavy,D2
203,"<USER> just a heads up, this page no longer exists <URL>",negative,0,negation|emoji_heavy,D2
204,<USER> who compensates is for the delays caused by the fact that you don't have enough flight attendants?? <URL>,negative,0,emoji_heavy,D2
205,<USER> <USER> <USER> is better than AA.,negative,0,emoji_heavy,D2
206,<USER> Good grief! Flight Cancelled Flightled. Been on hold since 0400.,negative,0,emoji_heavy,D2
207,<USER> where do we start? I've already wasted 1.5 hrs of phone wait time already :-(,negative,0,emoji_heavy,D2
208,"<USER> the customer service today is unsat, Flight cnx, not notified, called for 6 hours and the phone line does not even let me hold",negative,0,negation|emoji_heavy,D2
209,"<USER> dropped off a luggage at IAD over 2 months ago for repair from damages haven't heard anything about it since, when do I get it back?",negative,0,emoji_heavy,D2
210,<USER> No. I was told I got put on another flight and that I would get an email. Still haven't gotten one yet.,negative,0,negation|emoji_heavy,D2
211,<USER> now been on board with no movement for 25 min...wow this experience just keeps getting worse and worse,negative,0,negation|emoji_heavy,D2
212,<USER> cust svc just let it slip that previous cust svc lied to me about supervisors &amp; corporate ph#. $200 to change a $130 tix? No thx.,negative,0,negation|emoji_heavy,D2
213,<USER> my family and I are excited to see you too😊😊,positive,2,emoji_heavy,D2
214,"<USER> when AA gate supervisor 600117 was asked for his superiors name, response received was ""the CEO of #AmericanAirlines"" #merger",neutral,1,hashtag_heavy|emoji_heavy,D2
215,<USER> I would love to Fort Lauderdale now that would cool.,neutral,1,emoji_heavy,D2
216,<USER> nah it's for my flight next week.. inside my Chairman 7-day window but you still haven't released the last open First seat to me,negative,0,emoji_heavy,D2
217,<USER> - have dinner reservations in a few minutes -- and I've been trying to get through to you since BREAKFAST. #onholdwith,negative,0,emoji_heavy,D2
218,<USER> hi friend! Question for you when you have a moment.,neutral,1,emoji_heavy,D2
219,"<USER> As I already have a booked flight that I can't use &amp; can't change w/o a $200 fee, Flight Booking Problems a different type of ticket...1/2",negative,0,emoji_heavy,D2
220,<USER> I wrote to you but got nothing.and I am out of US .It is very simple thing.Will ypu provide compensation for your delay?,negative,0,emoji_heavy,D2
221,"<USER> I've got a BA flight as your airport couldn't accommodate us. We were left without any info. No vouchers for food,nothing.",negative,0,negation|emoji_heavy,D2
222,"<USER> I need you to get my cousin to PDX, she's on 2 days of travel now and we've had to hire other sitters til she arrives, thx for that",negative,0,emoji_heavy,D2
223,<USER> why are you still selling tickets when you haven't rebooked people to arrive at their destinations on time?,negative,0,emoji_heavy,D2
224,"<USER> the first place but I really didn't need the extra stress at this already terrible time. Oh by the way, I made the flight with 30",negative,0,emoji_heavy,D2
225,<USER> obviously no one knows a darn thing around here. What are we to do if this does not get resolved? <URL>,negative,0,negation|emoji_heavy,D2
226,<USER> Amazingly Awesome customer service from your reservation agents tonight. Helping correct a mistake. I so love this airline. :),positive,2,emoji_heavy,D2
227,"<USER> yes, I was rebooked the next day (Weds). Thanks. Just upset that I lost 2 additional work days AND paid for my own hotel. #losing",negative,0,emoji_heavy,D2
228,"<USER> holding your passengers hostage during your computer crash is not customer friendly, let us off the plane or get us moving",negative,0,negation|emoji_heavy,D2
229,<USER> 800 number will not even let you wait for next customer rep. Very frustrating. Can't talk to humans.,negative,0,negation|emoji_heavy,D2
230,<USER> What a really GREAT &amp; FLATTERING story about you! You should be very proud :) <URL> (via <USER>),negative,0,emoji_heavy,D2
231,"<USER> if you're going to charge for wifi, do us all a solid and make sure it doesn't take the length of the flight to open a page",negative,0,emoji_heavy,D2
232,<USER> How can you not know where my bags are? You knew where they were 6 hours ago. You are killing me! Worst service. Ever.,negative,0,negation|emoji_heavy,D2
233,<USER> although there was a 6 hour delay every single staff member from the ticket desk to the admirals club in was as sweet as pie,positive,2,emoji_heavy,D2
234,"<USER> I understand a bit of a wait, but I called at 6:23 pm and didn't get a call back until just after 11:00 pm, that's not cool",negative,0,negation|emoji_heavy,D2
235,"<USER> Paid for a Choice Seat my Choice is to NOT have big man next to me in my seat, too. #oldseatnocushion #worstflight #nohelponboard",negative,0,negation|hashtag_heavy|emoji_heavy,D2
236,First base already? I like your style <USER>,positive,2,emoji_heavy,D2
237,<USER> on hold with customer service; you may be quicker. I rebooked trip for a lower fare. Where did the difference in $ go?,negative,0,emoji_heavy,D2
238,<USER> while I appreciate that you actually responded I travel way too much for you to tell me coffee is not a basic option,negative,0,negation|emoji_heavy,D2
