task,sigma_pa,sigma_pb,sigma_a_given_b,sigma_b_given_a,selected_policy,selected_weight,selected_lambda,oracle_full_family_method,oracle_full_family_nll,nll_j1,nll_j2,nll_arithmetic,nll_geometric,nll_hard_core,nll_soft_core_1,nll_selective_core
32,0.11703661198670745,0.45521821378418603,0.1333810442025581,0.448523626650515,soft,0.5,0.03,geometric_w0.5,1.4228446855459613,1.446413774673946,1.438947015487348,1.42284666795648,1.4228446855459613,1.4555045883139024,1.4316730263319128,1.4231267173369597
33,0.08174417325012749,0.099639142112137,0.2348391290800168,0.44660344343983216,soft,0.5,3.0,soft_w0.75_l3,1.4916869812570417,1.4969694946096224,1.524444176657166,1.4976466542676385,1.4978879557506737,1.4953784383945576,1.4939381113949919,1.4932608284440312
34,0.669062956879718,0.7295955011752296,0.2609526175731223,0.5715412968791973,geometric,0.5,,arithmetic,1.5721743553367282,1.63103024489112,1.6700881298168562,1.5721743553367282,1.575262858668444,1.78091739664493,1.6345859221382621,1.575262858668444
35,0.07449784504690941,0.6708278668166048,0.42656062133600425,0.20724223302885528,soft,0.0,0.3,soft_w0_l0.03,1.5124583758415233,1.6447835122525307,1.5126188052024627,1.538230910810906,1.541466257877235,1.6577936995572464,1.5648224635366152,1.5161099716332103
36,0.08354787743632189,0.06341681845624475,0.053480194517813474,0.05701750341006347,geometric,0.75,,geometric_w0.5,1.5846377927849682,1.5852302147877975,1.5861398613180386,1.5846384364293278,1.5846377927849682,1.586952305841519,1.5853476567281726,1.5846723765251711
37,0.6306711833606536,0.07854090678440791,0.12873007469121558,0.3580676204785379,j1_b_then_a,,,soft_w1_l0.03,1.4360811433005165,1.436107841588986,1.5576461136642652,1.4614425789604268,1.465028138674361,1.5894849384434542,1.489184005079822,1.436107841588986
38,0.06058819222284649,0.2845449555019681,0.23135209620921954,0.06432506787659677,geometric,0.0,,soft_w0_l0.03,1.400169229471126,1.4277776879166613,1.4001871359172335,1.4061313148210148,1.4063205289005816,1.4314231054555493,1.4108133623742796,1.4001871359172335
39,0.7176230542195778,0.3355974355496581,0.05506053095013947,0.05296837047657941,j1_b_then_a,,,geometric_w0.75,1.5084865778796517,1.5120775631800547,1.6144480070328202,1.5206001224466437,1.525041680887842,1.702202281642243,1.565349158466619,1.5120775631800547
40,0.15908525781213162,0.3370764063104707,0.4996157463882046,0.29888215934186907,soft,0.25,0.1,soft_w0.25_l0.03,1.507427913774515,1.5653570686367775,1.5130289276503515,1.5139536611094015,1.5144251422485173,1.5478290499768368,1.5176197090683936,1.507432896255658
41,0.07829503130137602,0.04904087167895863,0.18826523075760243,0.08703631185775895,soft,0.0,1.0,soft_w0.25_l0.3,1.5405684755193834,1.546816242595534,1.541549072863139,1.5412983541753709,1.54131458435432,1.5417789247395064,1.5409364871023798,1.5409613861447886
42,0.09021545862818592,0.2006214138925915,0.6631219057957213,0.09789597613208519,j2_a_then_b,,,soft_w0_l0.1,1.439673312778115,1.5373732516884089,1.4398036040876094,1.4598999974646911,1.4628925977533036,1.454730963434629,1.454022092491678,1.4398036040876094
43,0.28236826778415713,0.5165311537080889,0.2619694793284045,0.43125034396443107,arithmetic,,,arithmetic,1.5690982365962327,1.6188173688486474,1.5899637078225077,1.5690982365962327,1.5696343871292837,1.673255841911854,1.5885595946694921,1.5690982365962327
44,0.30457296448844723,0.07678465751348966,0.10364209366320533,0.574725744741642,j1_b_then_a,,,soft_w1_l0.03,1.583428389382232,1.5834821892041886,1.6708105067796946,1.6024435805299624,1.6039403523630986,1.6260622398512072,1.6043168735752116,1.5834821892041886
45,0.10846987972879295,0.13774261480285688,0.1300450120077938,0.5198725897894829,soft,1.0,0.3,soft_w1_l1,1.5025809240528585,1.5035298447058387,1.5500107499661753,1.5105584078698464,1.5113573239863969,1.513217441583264,1.5076481455735649,1.5026343348300297
46,0.27310121232769613,0.3099833388709383,0.09506223711008413,0.2116461392651997,geometric,0.75,,arithmetic,1.5252080995164217,1.5347113551594154,1.5403611384041214,1.5252080995164217,1.5252757761103484,1.5538326296182252,1.535893515027936,1.5269242882824112
47,0.18368191176540594,0.1963882839582329,0.4744590232357324,0.10887903717040347,geometric,0.25,,soft_w0.25_l0.03,1.5267613270938591,1.5683223816069074,1.528348388946898,1.5325014799356989,1.5329589794961553,1.5521673006165269,1.53307911771104,1.5267636626222658
48,0.11531329114603589,0.44738803490948237,0.08770514046992892,0.3737973080016218,arithmetic,,,geometric_w0.25,1.4472793674836941,1.4765034775020456,1.4561730205410746,1.4474980249150151,1.4477910018829117,1.4989098341153524,1.4583955313782204,1.4474980249150151
49,0.07910028043227692,0.12633235431258757,0.04840432031021793,0.4876154672653808,geometric,1.0,,soft_w1_l0.3,1.5309324405666733,1.5311831960413165,1.5686429294306539,1.5381804974752094,1.5385935383513738,1.5381226100717504,1.536262000798635,1.5311831960413165
50,0.054514543687984286,0.2268341715496154,0.0885836504916826,0.14706958106881213,soft,0.0,0.1,geometric_w0.25,1.4582969520744522,1.4676865959792424,1.4594591098507668,1.4592518026800125,1.4592887460733437,1.4729153281505867,1.461790053753154,1.4591848322828402
51,0.34351080201050044,0.20263947862993412,0.07838859216955903,0.04210811004697454,arithmetic,,,geometric_w0.75,1.4279288646553983,1.4309271232380525,1.4492179790632258,1.4298410109372426,1.429995830797604,1.4783204352428596,1.4399360893824273,1.4298410109372426
52,0.07309043187683899,0.11197458121683104,0.22599813718762748,0.18923576551068175,soft,1.0,3.0,soft_w0.25_l1,1.4112631684615926,1.419329768257145,1.41419740308841,1.4119828068776155,1.4119714915598034,1.4151607224789924,1.4113382577232647,1.4144162925538688
53,0.4911590273708109,0.24845907157179936,0.6055782513695108,0.21042249970661436,arithmetic,,,arithmetic,1.5375047929279297,1.5831084231656198,1.5669837595234162,1.5375047929279297,1.5379195671349117,1.6091882436171705,1.55016954633071,1.5375047929279297
54,0.10704567037354588,0.6971491216311111,0.07441243668115846,0.26264707867862874,geometric,0.25,,soft_w0_l0.03,1.474706435995965,1.5743645652663523,1.475010588761405,1.4896915647805617,1.4931931773968448,1.6207248099851617,1.522062926440051,1.4758609221417238
55,0.04559462767614875,0.11059374214603834,0.4585362640340724,0.3093992036781019,soft,0.25,3.0,soft_w0.25_l3,1.435497431537403,1.4755472279231314,1.4445435342404978,1.4436530635761622,1.4439237286271072,1.43722508174327,1.438051534509355,1.435497431537403
56,0.08511034256309355,0.6913968588721875,0.04920027077115293,0.24698721134778284,soft,0.0,0.03,soft_w0_l0.03,1.5152793610679112,1.59016670756554,1.5155162217329468,1.5263879138109115,1.5284617132002818,1.59749009778274,1.5544514242771335,1.5152793610679112
57,0.31201192655300847,0.242016287617259,0.04658045017142726,0.4854065372258676,geometric,0.75,,geometric_w0.75,1.5193454723008673,1.5222801455005508,1.574650833273519,1.526462588183227,1.5271884193733731,1.5765206945611483,1.533431641477698,1.5193454723008673
58,0.1773790150504471,0.4702947290235632,0.04090776623976102,0.17238747042018152,geometric,0.25,,geometric_w0.25,1.47094915496468,1.5182705676894022,1.4731465318094352,1.477164873739475,1.4778332360970854,1.558504300835656,1.493828042976143,1.47094915496468
59,0.13140118718040744,0.378706463210598,0.14805207703514361,0.12435320734709585,soft,0.0,0.03,geometric_w0.25,1.5474019847588762,1.5803500670470791,1.548234074648515,1.5522704417410897,1.5525138950859265,1.5912243453753505,1.5629069881350135,1.548133432514895
60,0.1075894099478327,0.7032548527379565,0.09497018054226847,0.07727003682462785,geometric,0.25,,j2,1.477065219400617,1.5836444554840285,1.477065219400617,1.4982651985920086,1.502883346940715,1.605482493817136,1.534753174451934,1.4826150898591934
61,0.6144339990779318,0.14595193640347962,0.08322373446223215,0.4915667133282925,j1_b_then_a,,,soft_w1_l0.03,1.4210048518815133,1.4210176108912578,1.5461386077001296,1.4469546976678802,1.4500897130065835,1.529430944499412,1.4740236096159134,1.4210176108912578
62,0.12639749027403407,0.05110826251011727,0.04364289361175257,0.7384103654876949,soft,1.0,0.1,soft_w1_l0.1,1.4344961717173528,1.4345340788385847,1.5333435133309372,1.4567351700796929,1.4593676739877883,1.4484832590017926,1.4498303921972833,1.4344961717173528
63,0.058941606258678864,0.2514591804795181,0.17247518799584802,0.3423927381905262,arithmetic,,,arithmetic,1.5363254871561371,1.5469350186226107,1.5479258723281288,1.5363254871561371,1.5364227345149666,1.5541902967039487,1.5380539426555802,1.5363254871561371
64,0.06418047247707784,0.28707780123347426,0.36516081789505894,0.1291851936867002,geometric,0.25,,soft_w0_l0.1,1.4164172066317442,1.4568559636145981,1.4165204294484386,1.4245301820531941,1.4248364580344692,1.4444532247153137,1.4259386682342725,1.4176930929430889
65,0.4869286821415761,0.3916591604141578,0.12658416836108755,0.08970547963756044,geometric,0.5,,arithmetic,1.5120257477906125,1.5307652787781412,1.5427271982689255,1.5120257477906125,1.5123707014508803,1.617604569057614,1.5362331385585044,1.5123707014508803
66,0.16172682847722022,0.042723699879133735,0.38275867531152385,0.3727747591589575,soft,0.5,3.0,soft_w0.5_l3,1.5331598619542024,1.5532637208374476,1.5548674820837236,1.5375419133084933,1.5378489559025763,1.535378966522082,1.5334414131554093,1.5331598619542024
67,0.2040850042682431,0.05984268394073477,0.3206122481961251,0.280410906585257,soft,0.5,0.3,soft_w0.5_l0.3,1.536151390773422,1.5462392842945747,1.5503744813669977,1.5367338789925795,1.53677779763116,1.547938113537666,1.5364310836253288,1.536151390773422
68,0.30055702821916785,0.36992008590565445,0.6921088642057468,0.1358836788780692,geometric,0.25,,geometric_w0.25,1.5327471989807047,1.6467900920549283,1.5355015625150794,1.5478676342422353,1.5508327275196265,1.577383385821918,1.5535544759187891,1.5327471989807047
69,0.594024752877765,0.20055249859789007,0.0547917412383393,0.21032743609075408,soft,1.0,0.03,soft_w1_l0.03,1.5549329689720701,1.5550163923146243,1.6464106819114985,1.5706790523885088,1.5729549320878888,1.6880346850786612,1.5996002492047037,1.5549329689720701
70,0.07789297621386422,0.1505386317739784,0.10462446263818466,0.24129698153832174,soft,0.5,1.0,soft_w0.5_l0.1,1.4315281488457234,1.4342545481369486,1.438027400339691,1.4315478426964623,1.4315476854616198,1.4392363296057396,1.4321389207565691,1.4321389207565691
71,0.05730126279884707,0.04371820380165829,0.0720179700148741,0.2361419179252332,geometric,0.75,,soft_w1_l1,1.4141769200233616,1.4144591049404869,1.4232730673186824,1.4159531581248173,1.4159847331968454,1.4156228720880961,1.4152054789364434,1.4144995238303246
72,0.7277902857960176,0.42409274063334385,0.2698079751456423,0.4009564503104552,geometric,0.75,,geometric_w0.75,1.4865293141152547,1.501145857121207,1.599697153680256,1.4957323861026208,1.4986152517950337,1.6661033586265863,1.5415331022215577,1.4865293141152547
73,0.44402100090172253,0.6338606875653555,0.4925262218693796,0.08614021222782717,geometric,0.25,,geometric_w0.25,1.5448020881092996,1.6504094326943175,1.5589102284766871,1.5536646171007122,1.5553892792782482,1.7170932388900397,1.58841545551695,1.5448020881092996
74,0.4598308468867113,0.1730174025386179,0.2609165535909396,0.07369722516554861,geometric,0.75,,geometric_w0.75,1.4556808378698625,1.4619349768895091,1.4938167453986329,1.4584404895549068,1.4590493002959475,1.505166380462791,1.4744721800299867,1.4556808378698625
75,0.26533244724819427,0.1379046510823405,0.27474611303619695,0.07316969084895088,geometric,0.5,,arithmetic,1.5564644407154429,1.5673273760733388,1.5657507526407046,1.5564644407154429,1.556569991302814,1.578782817782574,1.5611164073971442,1.556569991302814
76,0.41284131999501,0.07219476819721367,0.04308095955572317,0.7392514473961421,j1_b_then_a,,,j1,1.5172844217030597,1.5172844217030597,1.660690453177124,1.5492947220929418,1.5531773269167486,1.59830231925834,1.5559261993842595,1.5172844217030597
77,0.14952974307849962,0.05756048923728762,0.18442309791519845,0.1306884691177769,geometric,0.5,,arithmetic,1.4981486298762652,1.5021261606480953,1.5027154250419616,1.4981486298762652,1.4981614184493288,1.5041022951622176,1.498901404912527,1.4981614184493288
78,0.2699892701329489,0.07431001167700788,0.17898261411700522,0.043530868397091776,j1_b_then_a,,,geometric_w0.75,1.5054025395112993,1.5077137394628335,1.5180986579884737,1.506310716093195,1.5063749708389842,1.5251986980221732,1.5110663912532003,1.5077137394628335
79,0.10483057247556464,0.3082160153148192,0.07289970906767959,0.1874425641994372,j2_a_then_b,,,geometric_w0.25,1.371695500819808,1.3868724979787421,1.3738021351255476,1.3731370864276717,1.373175824141623,1.3998845962873823,1.378425035280824,1.3738021351255476
80,0.04185176894819016,0.042906792198917534,0.06362220106082177,0.1206047426523909,j1_b_then_a,,,soft_w0.75_l0.3,1.4783697081850142,1.4788101833969673,1.480450342698618,1.478599621763999,1.478603657429745,1.4791999348581217,1.4785096010726502,1.4788101833969673
81,0.19622725809223798,0.14443076215947856,0.056511130006014494,0.09155098594088999,geometric,0.75,,geometric_w0.75,1.527215536573537,1.5289929755646727,1.5353661424807212,1.527658081197324,1.527689522228668,1.5456502228438285,1.5315843873278345,1.527215536573537
82,0.13508708440570344,0.04811899901200342,0.6671095234456709,0.05367264652072316,soft,0.0,0.3,soft_w0_l1,1.441012203439684,1.5178127769438916,1.4415600503792276,1.4562128370369558,1.4586014138757586,1.4528292452676472,1.4510918288874173,1.4410775937866083
83,0.055299493513895105,0.6605484019330891,0.10519935191585494,0.04948987080665641,j2_a_then_b,,,j2,1.6059317388617274,1.7204247051933348,1.6059317388617274,1.6308042700796406,1.6347871754971992,1.7659618720697077,1.6644674783549929,1.6059317388617274
84,0.22018377098799324,0.43171154989646815,0.07042930191507564,0.05221317595586289,j2_a_then_b,,,geometric_w0.25,1.3417335341728158,1.3693414543114253,1.344509591629438,1.3446716459675863,1.3449868064264168,1.3940756916861685,1.357737775882389,1.344509591629438
85,0.3240289253514249,0.05101062804427112,0.13390323295411855,0.06849325598589197,geometric,0.75,,soft_w1_l0.03,1.480592274559883,1.4806533056321438,1.5049766606070876,1.4848302861375742,1.4850142216986448,1.5203456453046047,1.4916333449568615,1.4808666462043696
86,0.39533561341717866,0.20105720535173338,0.041110958211076395,0.0951830688473618,j1_b_then_a,,,geometric_w0.75,1.4442048789167627,1.445801168326827,1.4784018854569398,1.4487433034771975,1.449164889176052,1.5128134611095394,1.4616206123506061,1.445801168326827
87,0.04945433298394335,0.3217992623210209,0.05864838957393644,0.0449510639222344,j2_a_then_b,,,j2,1.4868912575832347,1.51163635009418,1.4868912575832347,1.4924693850165083,1.4926243617116095,1.5241084928567763,1.4991443895091285,1.4868912575832347
88,0.34204635169577097,0.5303024085074295,0.40249920294073693,0.44345473743909,arithmetic,,,arithmetic,1.5021695157316224,1.5602598481547616,1.5254065342421843,1.5021695157316224,1.5022050018675281,1.6076369458696493,1.5201372231493226,1.5021695157316224
89,0.3723872994897725,0.39313795023339615,0.04445139426105334,0.0849391399937056,arithmetic,,,arithmetic,1.5333901466539037,1.5559215055907676,1.5504517401227904,1.5333901466539037,1.5337223180703676,1.623254032633208,1.553475261859491,1.5333901466539037
90,0.05118164651838518,0.46464686609308853,0.37096079041313834,0.09037813538028149,j2_a_then_b,,,soft_w0_l0.03,1.48842765572649,1.5684865239345098,1.488438672446216,1.5061690811747217,1.5076177985016013,1.5784921312881603,1.5187350455646307,1.488438672446216
91,0.04972201095218668,0.08362605874539783,0.042835386881297385,0.5141481106061396,soft,1.0,3.0,soft_w1_l0.3,1.5261900995011428,1.5263830162236238,1.571944426189473,1.5360875669281258,1.5369461561190783,1.532711027095472,1.5329582953108394,1.5265776853637636
92,0.34863673575582,0.05338952586462752,0.5219470457101746,0.19949291231961333,geometric,0.5,,arithmetic,1.5152266004155879,1.5474809360817146,1.5316005528183212,1.5152266004155879,1.5158614657929728,1.5459673473698292,1.5181235209625132,1.5158614657929728
93,0.05914244935862404,0.10883972145086142,0.16070710335655528,0.49960173088947596,soft,0.75,1.0,soft_w1_l3,1.4893116762255845,1.4918202975110695,1.5303650571497425,1.496856292149992,1.497567596782822,1.4937801408465874,1.49325147843641,1.4893942893880296
94,0.7097885637611331,0.2264209696766453,0.28062677057874563,0.21437305863418127,geometric,0.75,,geometric_w0.75,1.4749123061132239,1.477765936662698,1.578503473285696,1.488064829888836,1.4912290262121928,1.6449672516608176,1.5214354466834912,1.4749123061132239
95,0.3092205843614257,0.0656126304904773,0.0651622332229099,0.06381659518847133,soft,1.0,0.03,soft_w1_l0.03,1.3448141679100072,1.34482690967393,1.365015573683602,1.3489819624682182,1.3491236296503504,1.3813592873271192,1.3540353502988396,1.3448141679100072
96,0.2964852900949427,0.5349659589011369,0.6190017976173866,0.3623187509302218,geometric,0.25,,geometric_w0.25,1.4308016399109993,1.5293515965645341,1.4420016802611697,1.440535761885432,1.4419777132335734,1.5377948314527758,1.4558017652871382,1.4308016399109993
97,0.4182390356099852,0.047122742201042275,0.18169092598467065,0.05822549481600789,geometric,0.75,,geometric_w0.75,1.422531422473151,1.4228816050224273,1.4556100771575695,1.427455706270839,1.4279404535948599,1.4688666870929752,1.4379256433692427,1.422531422473151
98,0.3452469205038181,0.052683271078471615,0.06784470259681573,0.11947296304145888,soft,0.75,0.1,soft_w1_l0.03,1.4657202941685248,1.4657381787951678,1.4953770236949917,1.4721702777560792,1.4723930715119866,1.5086674159088789,1.4795944725650303,1.467940336006046
99,0.43440312160460554,0.43124168214155817,0.046481748888762525,0.2113124902789682,arithmetic,,,arithmetic,1.5018942238220094,1.525017624684716,1.532051384046939,1.5018942238220094,1.502843429797731,1.621816709998729,1.5258076507887712,1.5018942238220094
